source_name;source_ip;destination_name;destination_ip;designation_port;protocol;service_name;status
SRV-APP-01;10.0.1.10;DB-PROD-01;10.0.2.50;3306;TCP;MySQL;Success
SRV-APP-01;10.0.1.10;DB-PROD-01;10.0.2.50;5432;TCP;PostgreSQL;Success
USER-PC-102;192.168.1.55;MAIL-SRV;10.0.5.10;587;TCP;SMTP-TLS;Success
WEB-FE-01;172.16.0.10;AUTH-API;172.16.0.50;443;TCP;HTTPS;Filtred
WEB-FE-02;172.16.0.11;AUTH-API;172.16.0.50;443;TCP;HTTPS;Success
MONITOR-01;10.0.0.5;SRV-APP-01;10.0.1.10;9100;TCP;Prometheus-Exporter;Success
MONITOR-01;10.0.0.5;DB-PROD-01;10.0.2.50;9100;TCP;Prometheus-Exporter;Failed
BACKUP-SRV;10.0.10.1;SRV-APP-01;10.0.1.10;22;TCP;SSH;Success
GW-MAIN;192.168.1.1;DNS-PUB-01;8.8.8.8;53;UDP;DNS
VPN-GATEWAY;172.20.1.1;SRV-INTRA;10.0.1.25;443;TCP;HTTPS;Success
JUMP-HOST;10.10.1.5;SRV-PROD-99;10.0.2.99;22;TCP;SSH;Warning
TEST-LAB-01;192.168.50.10;TEST-DB;192.168.50.20;1433;TCP;MSSQL;Failed
SRV-LOGS;10.0.0.100;SRV-APP-01;10.0.1.10;514;UDP;Syslog;Success
WEB-PROXY;10.0.0.254;EXT-WEB;93.184.216.34;80;TCP;HTTP;Failed
ADMIN-WS;10.0.10.50;CORE-SW-01;10.0.255.1;161;UDP;SNMP
IOT-DEV-01;192.168.10.10;MQTT-BROKER;10.0.3.15;1883;TCP;MQTT;Success
NAS-STORAGE;10.0.2.200;SRV-APP-01;10.0.1.10;2049;TCP;NFS;Success
DEV-WS-05;192.168.1.15;GIT-SRV;10.0.4.10;22;TCP;SSH-Git;Success
DMZ-WEB-01;172.16.100.5;INTERNAL-DB;10.0.2.50;3306;TCP;MySQL;Blocked
VOIP-PHONE-01;10.50.1.10;PBX-SRV;10.50.0.1;5060;UDP;SIP;Success
SRV-APP-02;10.0.1.11;DB-PROD-01;10.0.2.50;3306;TCP;MySQL;Success
SRV-APP-03;10.0.1.12;DB-PROD-01;10.0.2.50;3306;TCP;MySQL;Filtred
SRV-APP-04;10.0.1.13;DB-PROD-01;10.0.2.50;3306;TCP;MySQL;Success
SRV-APP-05;10.0.1.14;DB-PROD-01;10.0.2.50;3306;TCP;MySQL;Success
SRV-APP-06;10.0.1.15;DB-PROD-01;10.0.2.50;3306;TCP;MySQL;Success
SRV-APP-07;10.0.1.16;DB-PROD-01;10.0.2.50;3306;TCP;MySQL;Filtred
SRV-APP-08;10.0.1.17;DB-PROD-01;10.0.2.50;3306;TCP;MySQL;Success
SRV-APP-09;10.0.1.18;DB-PROD-01;10.0.2.50;3306;TCP;MySQL;Success
SRV-APP-10;10.0.1.19;DB-PROD-01;10.0.2.50;3306;TCP;MySQL;Success
WEB-SERVER-01;172.16.1.1;CACHE-SRV-01;172.16.1.100;6379;TCP;Redis;Success
WEB-SERVER-02;172.16.1.2;CACHE-SRV-01;172.16.1.100;6379;TCP;Redis;Success
WEB-SERVER-03;172.16.1.3;CACHE-SRV-01;172.16.1.100;6379;TCP;Redis;Success
PC-OFFICE-001;192.168.1.101;DC-01;10.0.0.1;445;TCP;SMB;Success
PC-OFFICE-002;192.168.1.102;DC-01;10.0.0.1;445;TCP;SMB;Filtred
PC-OFFICE-003;192.168.1.103;DC-01;10.0.0.1;445;TCP;SMB;Success
FIREWALL-INT;10.0.0.254;FIREWALL-EXT;192.168.254.1;500;UDP;IPSec;Success
PRINTER-01;192.168.20.10;PRINT-SRV;10.0.5.5;9100;TCP;LPD;Success
PRINTER-02;192.168.20.11;PRINT-SRV;10.0.5.5;9100;TCP;LPD;Success
MON-NODE-A;10.20.1.1;MON-HUB;10.20.1.254;10050;TCP;Zabbix-Agent;Success
MON-NODE-B;10.20.1.2;MON-HUB;10.20.1.254;10050;TCP;Zabbix-Agent;Success
SRV-FINAL-200;10.255.255.200;BACKUP-DEST;10.255.255.254;443;TCP;HTTPS-Backup;Success
